Code,Description
11171500,Basic steels
11171600,Stainless steel alloys
11171700,High speed steels
30263600,Carbon steel bars
30263700,Steel alloy bars
80111600,Temporary personnel services
76122300,Recycling services
73181000,Machining services
73181100,Coating services
73181200,Forming services
73181300,Heat treatment services
78141500,Transport arranging services
84111500,Accounting services
84111600,Audit services
85101700,Health administration services
20121600,Drilling bits
22101700,Heavy equipment components
23191000,Batch mixers
43231500,Business function specific software
81161900,Cloud-based hardware as a service
81162000,Cloud-based software as a service
81162100,Cloud-based platform as a service
81162200,Cloud-based infrastructure as a service
